,Date,Time,Rain(mm)
511,2021-07-28,13:10:00,0.0
512,2021-07-28,13:20:00,0.0
513,2021-07-28,13:30:00,0.0
514,2021-07-28,13:40:00,0.0
515,2021-07-28,13:50:00,0.0
516,2021-07-28,14:00:00,0.0
517,2021-07-28,14:10:00,0.0
518,2021-07-28,14:20:00,0.0
519,2021-07-28,14:30:00,0.0
520,2021-07-28,14:40:00,0.0
521,2021-07-28,14:50:00,0.0
522,2021-07-28,15:00:00,0.0
523,2021-07-28,15:10:00,0.0
524,2021-07-28,15:20:00,0.0
525,2021-07-28,15:30:00,0.0
526,2021-07-28,15:40:00,0.0
527,2021-07-28,15:50:00,0.0
528,2021-07-28,16:00:00,0.0
529,2021-07-28,16:10:00,0.0
530,2021-07-28,16:20:00,0.0
531,2021-07-28,16:30:00,0.0
532,2021-07-28,16:40:00,0.0
533,2021-07-28,16:50:00,0.0
534,2021-07-28,17:00:00,0.0
535,2021-07-28,17:10:00,0.0
536,2021-07-28,17:20:00,0.0
537,2021-07-28,17:30:00,0.0
538,2021-07-28,17:40:00,0.0
539,2021-07-28,17:50:00,0.0
540,2021-07-28,18:00:00,0.0
541,2021-07-28,18:10:00,0.0
542,2021-07-28,18:20:00,0.0
543,2021-07-28,18:30:00,0.0
544,2021-07-28,18:40:00,0.0
545,2021-07-28,18:50:00,0.0
546,2021-07-28,19:00:00,0.0
547,2021-07-28,19:10:00,0.0
548,2021-07-28,19:20:00,0.0
549,2021-07-28,19:30:00,0.0
550,2021-07-28,19:40:00,0.0
551,2021-07-28,19:50:00,0.0
552,2021-07-28,20:00:00,0.0
553,2021-07-28,20:10:00,0.0
554,2021-07-28,20:20:00,0.0
555,2021-07-28,20:30:00,0.0
556,2021-07-28,20:40:00,0.0
557,2021-07-28,20:50:00,0.0
558,2021-07-28,21:00:00,0.0
559,2021-07-28,21:10:00,0.0
560,2021-07-28,21:20:00,0.0
561,2021-07-28,21:30:00,0.0
562,2021-07-28,21:40:00,0.0
563,2021-07-28,21:50:00,0.0
564,2021-07-28,22:00:00,0.0
565,2021-07-28,22:10:00,0.0
566,2021-07-28,22:20:00,0.0
567,2021-07-28,22:30:00,0.0
568,2021-07-28,22:40:00,0.0
569,2021-07-28,22:50:00,0.0
570,2021-07-28,23:00:00,0.0
571,2021-07-28,23:10:00,0.0
572,2021-07-28,23:20:00,0.0
573,2021-07-28,23:30:00,0.0
574,2021-07-28,23:40:00,0.0
575,2021-07-28,23:50:00,0.0
576,2021-07-29,00:00:00,0.0
577,2021-07-29,00:10:00,0.0
578,2021-07-29,00:20:00,0.0
579,2021-07-29,00:30:00,0.0
580,2021-07-29,00:40:00,0.0
581,2021-07-29,00:50:00,0.0
582,2021-07-29,01:00:00,0.0
583,2021-07-29,01:10:00,0.0
584,2021-07-29,01:20:00,0.0
585,2021-07-29,01:30:00,0.0
586,2021-07-29,01:40:00,0.0
587,2021-07-29,01:50:00,0.0
588,2021-07-29,02:00:00,0.0
589,2021-07-29,02:10:00,0.0
590,2021-07-29,02:20:00,0.0
591,2021-07-29,02:30:00,0.0
592,2021-07-29,02:40:00,0.0
593,2021-07-29,02:50:00,0.16666666666666666
594,2021-07-29,03:00:00,0.5
595,2021-07-29,03:10:00,0.0
596,2021-07-29,03:20:00,0.0
597,2021-07-29,03:30:00,0.0
598,2021-07-29,03:40:00,0.0
599,2021-07-29,03:50:00,0.0
600,2021-07-29,04:00:00,0.0
601,2021-07-29,04:10:00,0.0
602,2021-07-29,04:20:00,0.0
603,2021-07-29,04:30:00,0.0
604,2021-07-29,04:40:00,0.0
605,2021-07-29,04:50:00,0.0
606,2021-07-29,05:00:00,0.0
607,2021-07-29,05:10:00,0.0
608,2021-07-29,05:20:00,0.0
609,2021-07-29,05:30:00,0.0
610,2021-07-29,05:40:00,0.0
611,2021-07-29,05:50:00,0.0
612,2021-07-29,06:00:00,0.0
613,2021-07-29,06:10:00,0.0
614,2021-07-29,06:20:00,0.0
615,2021-07-29,06:30:00,0.0
616,2021-07-29,06:40:00,0.0
617,2021-07-29,06:50:00,0.0
618,2021-07-29,07:00:00,0.0
619,2021-07-29,07:10:00,0.0
620,2021-07-29,07:20:00,0.0
621,2021-07-29,07:30:00,0.0
622,2021-07-29,07:40:00,0.0
623,2021-07-29,07:50:00,0.0
624,2021-07-29,08:00:00,0.0
625,2021-07-29,08:10:00,0.0
626,2021-07-29,08:20:00,0.0
627,2021-07-29,08:30:00,0.0
628,2021-07-29,08:40:00,0.0
629,2021-07-29,08:50:00,0.0
630,2021-07-29,09:00:00,0.0
631,2021-07-29,09:10:00,0.0
632,2021-07-29,09:20:00,0.0
633,2021-07-29,09:30:00,0.0
634,2021-07-29,09:40:00,0.0
635,2021-07-29,09:50:00,0.0
636,2021-07-29,10:00:00,0.0
637,2021-07-29,10:10:00,0.0
638,2021-07-29,10:20:00,0.0
639,2021-07-29,10:30:00,0.0
640,2021-07-29,10:40:00,0.0
641,2021-07-29,10:50:00,0.0
642,2021-07-29,11:00:00,0.0
643,2021-07-29,11:10:00,0.0
644,2021-07-29,11:20:00,0.0
645,2021-07-29,11:30:00,0.0
646,2021-07-29,11:40:00,0.0
647,2021-07-29,11:50:00,0.0
648,2021-07-29,12:00:00,0.0
649,2021-07-29,12:10:00,0.0
650,2021-07-29,12:20:00,0.0
651,2021-07-29,12:30:00,0.0
652,2021-07-29,12:40:00,0.0
653,2021-07-29,12:50:00,0.0
654,2021-07-29,13:00:00,0.0
655,2021-07-29,13:10:00,0.0
656,2021-07-29,13:20:00,0.0
657,2021-07-29,13:30:00,0.0
658,2021-07-29,13:40:00,0.0
659,2021-07-29,13:50:00,0.0
660,2021-07-29,14:00:00,0.0
661,2021-07-29,14:10:00,0.0
662,2021-07-29,14:20:00,0.0
663,2021-07-29,14:30:00,0.0
664,2021-07-29,14:40:00,0.0
665,2021-07-29,14:50:00,0.0
666,2021-07-29,15:00:00,0.0
667,2021-07-29,15:10:00,0.0
668,2021-07-29,15:20:00,0.0
669,2021-07-29,15:30:00,0.0
670,2021-07-29,15:40:00,0.0
671,2021-07-29,15:50:00,0.0
672,2021-07-29,16:00:00,0.0
673,2021-07-29,16:10:00,0.0
674,2021-07-29,16:20:00,0.0
675,2021-07-29,16:30:00,0.0
676,2021-07-29,16:40:00,0.0
677,2021-07-29,16:50:00,0.0
678,2021-07-29,17:00:00,0.0
679,2021-07-29,17:10:00,0.0
680,2021-07-29,17:20:00,0.0
681,2021-07-29,17:30:00,0.0
682,2021-07-29,17:40:00,0.0
683,2021-07-29,17:50:00,0.0
684,2021-07-29,18:00:00,0.0
685,2021-07-29,18:10:00,0.0
686,2021-07-29,18:20:00,0.0
687,2021-07-29,18:30:00,0.0
688,2021-07-29,18:40:00,0.0
689,2021-07-29,18:50:00,0.0
690,2021-07-29,19:00:00,0.0
691,2021-07-29,19:10:00,0.0
692,2021-07-29,19:20:00,0.0
693,2021-07-29,19:30:00,0.0
694,2021-07-29,19:40:00,0.0
695,2021-07-29,19:50:00,0.0
696,2021-07-29,20:00:00,0.0
697,2021-07-29,20:10:00,0.0
698,2021-07-29,20:20:00,0.0
699,2021-07-29,20:30:00,0.0
700,2021-07-29,20:40:00,0.0
701,2021-07-29,20:50:00,0.0
702,2021-07-29,21:00:00,0.0
703,2021-07-29,21:10:00,0.0
704,2021-07-29,21:20:00,0.0
705,2021-07-29,21:30:00,0.0
706,2021-07-29,21:40:00,0.0
707,2021-07-29,21:50:00,0.0
708,2021-07-29,22:00:00,0.0
709,2021-07-29,22:10:00,0.0
710,2021-07-29,22:20:00,0.0
711,2021-07-29,22:30:00,0.0
712,2021-07-29,22:40:00,0.0
713,2021-07-29,22:50:00,0.0
714,2021-07-29,23:00:00,0.0
715,2021-07-29,23:10:00,0.0
716,2021-07-29,23:20:00,0.0
717,2021-07-29,23:30:00,0.0
718,2021-07-29,23:40:00,0.0
719,2021-07-29,23:50:00,0.0
720,2021-07-30,00:00:00,0.0
721,2021-07-30,00:10:00,1.3333333333333333
722,2021-07-30,00:20:00,2.3333333333333335
723,2021-07-30,00:30:00,3.0
