,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
106,0.2981673329325177,0.2981673329325177,14.0,14.0,0.0,0.1472642455539258,1.2624098330129734,14.0,2021-08-04 20:40:00
107,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 20:50:00
108,0.2981673329325177,0.3578007030467127,16.5,14.58844930757088,1.6100568704969307,0.0,1.0,16.5,2021-08-04 21:00:00
109,0.2981673329325177,0.3578007030467127,13.5,12.814440850236053,0.059633370114195006,0.08295885590818451,1.069667432132715,13.5,2021-08-04 21:10:00
110,0.2981673329325177,0.3578007030467127,18.0,15.93586179453342,0.059633370114195006,0.15912818969376874,1.1452478979825427,17.0,2021-08-04 21:20:00
111,0.2981673329325177,0.3578007030467127,16.0,13.80064148247208,0.059633370114195006,0.15519745545475241,1.457213935748472,16.0,2021-08-04 21:30:00
112,0.2981673329325177,0.3578007030467127,18.5,15.472455360667247,1.6100568704969307,0.16622234544486816,1.4825812015578563,13.5,2021-08-04 21:40:00
113,0.2981673329325177,0.2981673329325177,11.5,9.649429817517092,1.6100568704969307,0.12306302005754154,1.1146033560704345,11.5,2021-08-04 21:50:00
114,0.2981673329325177,0.3578007030467127,9.0,8.52871895379886,0.059633370114195006,0.06997604103717348,1.0,8.0,2021-08-04 22:00:00
115,0.2981673329325177,0.2981673329325177,5.5,5.028718953798861,0.0,0.05190485158134944,1.0,5.5,2021-08-04 22:10:00
116,0.2981673329325177,0.2981673329325177,14.5,13.07028649278437,0.0,0.1096916679636874,1.1747562622494108,14.5,2021-08-04 22:20:00
117,0.2981673329325177,0.2981673329325177,15.0,13.149429817517094,1.6100568704969307,0.08246754479773442,1.2613071051124392,13.5,2021-08-04 22:30:00
118,0.2981673329325177,0.2981673329325177,25.5,23.65587823434783,0.0,0.0736230963124049,1.3944290020466126,25.5,2021-08-04 22:40:00
119,0.2981673329325177,0.2981673329325177,30.5,28.791264909729154,1.6100568704969307,0.06700699386947832,2.0371852763572234,30.5,2021-08-04 22:50:00
